date,region,lat,lon,product,price,rate,sigma,rho
6/30/2018,South Kivu,28.8428,-2.49077,beans,1532,-0.044678777,0.360522952,-0.75754374
7/31/2018,South Kivu,28.8428,-2.49077,beans,1462,-0.04676871,0.357331002,-0.569721206
8/31/2018,South Kivu,28.8428,-2.49077,beans,1949,0.287511059,0.184842948,-0.115166337
9/30/2018,South Kivu,28.8428,-2.49077,beans,3509,0.588014676,0.304911298,0.002608109
10/31/2018,South Kivu,28.8428,-2.49077,beans,1754,-0.693432203,0.549812452,-0.135134283
11/30/2018,South Kivu,28.8428,-2.49077,beans,1949,0.105417527,0.547637134,0.021103346
12/31/2018,South Kivu,28.8428,-2.49077,beans,2046.5,0.048814596,0.528995741,0.070873178
1/31/2019,South Kivu,28.8428,-2.49077,beans,2144,0.046542226,0.381152716,0.300808797
2/28/2019,South Kivu,28.8428,-2.49077,beans,1754,-0.200774349,0.13659214,0.470382825
3/31/2019,South Kivu,28.8428,-2.49077,beans,1364.5,-0.251110833,0.159308836,-0.753334022
4/30/2019,South Kivu,28.8428,-2.49077,beans,975,-0.336105869,0.1643814,0.150392931
5/31/2019,South Kivu,28.8428,-2.49077,beans,1100,0.120627988,0.199617878,0.71004332
6/30/2019,South Kivu,28.8428,-2.49077,beans,1213.513514,0.098209702,0.235438802,-0.140802655
7/31/2019,South Kivu,28.8428,-2.49077,beans,1243.243243,0.024203602,0.212590352,0.15949634
8/31/2019,South Kivu,28.8428,-2.49077,beans,1224.324324,-0.015334364,0.063389281,0.204984242
9/30/2019,South Kivu,28.8428,-2.49077,beans,1243.243243,0.015334364,0.048149043,-0.418002731
10/31/2019,South Kivu,28.8428,-2.49077,beans,1243.243243,0,0.017413081,0.34994266
11/30/2019,South Kivu,28.8428,-2.49077,beans,1243.243243,0,0.012520456,0.569656822
12/31/2019,South Kivu,28.8428,-2.49077,beans,1216.931217,-0.02139119,0.01509475,0.522993825
1/31/2020,South Kivu,28.8428,-2.49077,beans,1215,-0.001588217,0.010457727,0.443401205
2/29/2020,South Kivu,28.8428,-2.49077,beans,1216.931217,0.001588217,0.010773921,-0.368121863
3/31/2020,South Kivu,28.8428,-2.49077,beans,1300,0.066031971,0.037967746,0.279836409
4/30/2020,South Kivu,28.8428,-2.49077,beans,1300,0,0.033041442,0.136392759
5/31/2020,South Kivu,28.8428,-2.49077,beans,1900,0.379489622,0.181106158,-0.82445894
6/30/2020,South Kivu,28.8428,-2.49077,beans,2660,0.336472237,0.190357184,-0.288514197
7/31/2020,South Kivu,28.8428,-2.49077,beans,2366.666667,-0.116843627,0.245725259,0.655784402
8/31/2020,South Kivu,28.8428,-2.49077,beans,2836.666667,0.181147159,0.224714,0.864401004
9/2/2020,South Kivu,28.8428,-2.49077,beans,2213,-0.248280593,0.268023538,0.461389973
9/9/2020,South Kivu,28.8428,-2.49077,beans,2213,0,0.182252654,0.290699805
9/16/2020,South Kivu,28.8428,-2.49077,beans,2213,0,0.176381047,0.748117104
9/23/2020,South Kivu,28.8428,-2.49077,beans,2213,0,0.124140296,0.333333333
10/7/2020,South Kivu,28.8428,-2.49077,beans,2253,0.0179136,0.0089568,0.64861835
10/14/2020,South Kivu,28.8428,-2.49077,beans,2253,0,0.0089568,0.525230384
10/21/2020,South Kivu,28.8428,-2.49077,beans,2253,0,0.0089568,0.7294792
10/28/2020,South Kivu,28.8428,-2.49077,beans,2253,0,0.0089568,0.895365833
11/4/2020,South Kivu,28.8428,-2.49077,beans,2333,0.034892332,0.017446166,-0.663338352
11/11/2020,South Kivu,28.8428,-2.49077,beans,2333,0,0.017446166,-0.328883497
11/18/2020,South Kivu,28.8428,-2.49077,beans,2333,0,0.017446166,0.203740701
11/25/2020,South Kivu,28.8428,-2.49077,beans,2333,0,0.017446166,0.536268056
